,0
0,1
1,1
2,1
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,1
147,1
148,1
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,0
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,0
385,0
386,0
387,1
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,1
413,0
414,0
415,1
416,1
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,0
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,1
561,1
562,0
563,1
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,0
572,1
573,0
574,0
575,1
576,0
577,0
578,1
579,0
580,1
581,0
582,0
583,0
584,1
585,1
586,1
587,0
588,0
589,1
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,1
608,1
609,1
610,1
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,1
633,0
634,1
635,0
636,1
637,0
638,0
639,0
640,1
641,1
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,0
650,0
651,1
652,1
653,0
654,0
655,0
656,0
657,1
658,0
659,1
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,0
676,1
