OldName,Correction
[Not Available],NOS
[Unknown],NOS
17-AAG,Tanespimycin
2-[1-hexyloxyethyl]-2-devinyl pyropheophorbide-alpha (HPPH or Photochlor),Photochlor 
2B3-101,Doxorubicin 
5- FU,Fluorouracil
5-Flourouracil,Fluorouracil
5-fluorouracil,Fluorouracil
5-Fluorouracil,Fluorouracil
5-Fluorouracil + leucovorin,Fluorouracil+Leucovorin
5-Fluorouracil?,Fluorouracil
5-fluorouracilum,Fluorouracil
5-Fluoruoracil,Fluorouracil
5-flurouracil,Fluorouracil
5-fu,Fluorouracil
5-FU,Fluorouracil
5-FU + LEULOV,Fluorouracil+Leucovorin
5-FU+ etoposidium,Fluorouracil+Etoposide
5 fluorouracil,Fluorouracil
5 fluorouracil+leucovorin,Fluorouracil+Leucovorin
5 fluorouracilum,Fluorouracil
5 fluorouracilum+leucovorin,Fluorouracil+Leucovorin
5 FU,Fluorouracil
5F4 Leucovorin,Fluorouracil+Leucovorin
5fluorouracil+leucovorin,Fluorouracil+Leucovorin
5fluorouracil+oxaciplatina+l-folinian discido,Oxaliplatin+Leucovorin+Fluorouracil
5FU,Fluorouracil
6 Thiguanine,'Tioguanine'
9 Aminocamptothecin,Aminocamptothecin
90Y-HU3S193,Hu3S193
A202171 Protocol,NOS
Abagovomab or Placebo,Abagovomab
Abagovomab vs Placebo,Abagovomab
Abagovomag vs Placebo,Abagovomab
Abiraterone,Abiraterone
abraxane,Paclitaxel
Abraxane,Paclitaxel
ABRAXANE,Paclitaxel
ABT-888,Veliparib
ABT-888 and temozolomide,Veliparib+Temozolomide
ac,Doxorubicin+Cyclophosphamide
Actinomycin-D,Dactinomycin
actinomycin d,Dactinomycin
adriamicin,Doxorubicin
adriamycin,Doxorubicin
Adriamycin,Doxorubicin
ADRIAMYCIN,Doxorubicin
Adriamycin (doxorubicin),Doxorubicin
"Adriamycin, cytoxan, avastin",Doxorubicin+Cyclophosphamide+Bevacizumab
Adriamycin/Cytoxan,Doxorubicin+Cyclophosphamide
adriamycin+cuclophosphamide,Doxorubicin+Cyclophosphamide
adriamycin+cyclophosphamid,Doxorubicin+Cyclophosphamide
adriamycin+cyclophosphamide,Doxorubicin+Cyclophosphamide
Adriamyicin,Doxorubicin
adrimicin+cyclophosphamide,Doxorubicin+Cyclophosphamide
Adrimycin,Doxorubicin
adrimycin+cyclophosphamide,Doxorubicin+Cyclophosphamide
AE-37,AE37
Afatinib,Afatinib
Afinitor,Everolimus
Aflibercept,Aflibercept
Aflibercept/ Placebo Study,Aflibercept
Albumin-Bound Paclitaxel,Paclitaxel
Alferon,Alferon
alimta,Pemetrexed
Alimta,Pemetrexed
ALIMTA,Pemetrexed
Alkeran,Melphalan
Almita,Pemetrexed
Aloxi,Palonosetron
Alpha Interferon,Alferon
Altima,Pemetrexed 
Alvesin,Alvesin 
Amatuximab (MORab-009),Amatuximab 
AMG 706,Motesanib
Amgen 706,Motesanib
Amifostine,Amifostine
Aminopterin,Aminopterin
Amitostin,Amifostine
Amitostine,Amifostine
Anastrazole,Anastrozole
Anastrozole,Anastrozole
ANASTROZOLE,Anastrozole
ANASTROZOLE (ARIMIDEX),Anastrozole
anastrozolum,Anastrozole
Angiocal,Angiocal
Anti necplatens,Antineoplastons
AP-23573 (ARIAD),Ridaforolimus
arimidex,Anastrozole
Arimidex,Anastrozole
ARIMIDEX,Anastrozole
Arimidex (Anastrozole),Anastrozole
ARIMIDEX (ANASTROZOLE),Anastrozole
Armidex,Anastrozole
Armour Thyroid,Desiccated thyroid
aromasin,Exemestane
Aromasin,Exemestane
Aromasin (Exemestane),Exemestane
AROMASIN (EXEMESTANE),Exemestane
aromatase exemestane,Exemestane
AT-101,AT-101
AT 101,AT-101
autologous vaccine,ATCV
avastin,Bevacizumab
Avastin,Bevacizumab
Avastin (Bevacizumab),Bevacizumab
Avastin/bevacizumab/placebo,Bevacizumab
Axitinib,Axitinib
Axitnib,Axitinib
azaTHIOprine,Azathioprine
AZD,AZD 
AZD 2281,Olaparib
AZD6244,Selumetinib
B12,Cyanocobalamin 
BA4 43 9006,Sorafenib
Bacillus Calmette-Guerin (BCG),BCG
Bay-439006,Sorafenib
BCG,BCG
"BCG, Intravesicular",BCG
BCNU,Carmustine
BCNU (carmustine),Carmustine
BCNU (Carmustine),Carmustine
Belinostat,Belinostat
Benzylguanine,O6-Benzylguanine
Bevacizamab/Placebo,Bevacizumab
bevacizumab,Bevacizumab
Bevacizumab,Bevacizumab
BEVACIZumab,Bevacizumab
BEVACIZUmab,Bevacizumab
BEVACIZUMAB,Bevacizumab
BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY,Bevacizumab
Bevacizumab or placebo,Bevacizumab
Bevacizumab or Placebo,Bevacizumab
Bevacizumab vs Placebo,Bevacizumab
Bevacizumiab/ versus Placebo,Bevacizumab
Bicalutamid,Bicalutamide
Bicalutamide,Bicalutamide
bleomycin,Bleomycin
Bleomycin,Bleomycin
BLEOMYCIN,Bleomycin
Bortezomib,Bortezomib
BRAF inhibitor,Vemurafenib  
Brivanib,Brivanib
Bromo deoxyuridine,Bromodeoxyuridine
C1 FOLFIRI/Zaltrap,Leucovorin+Fluorouracil+Irinotecan+Aflibercept
cabazitaxel,Cabazitaxel
Cabazitaxel,Cabazitaxel
CAI NABIT 9712,CAI NABIT 9712
Calcium Foliatum,Leucovorin
"Calcium Foliatum, fluorouracilum, oxaliplatinum, dexamethassone",Leucovorin+Oxaliplatin+Fluorouracil+Dexamethasone
camptosar,Irinotecan
Camptosar,Irinotecan
Cancer Vax,Polyvalent Melanoma Vaccine
Capecetabine,Capecitabine
Capecitabin,Capecitabine
capecitabine,Capecitabine
Capecitabine,Capecitabine
CAPECITABINE,Capecitabine
Capecitabine -xeloda,Capecitabine
Capecytabinum,Capecitabine
Carbo,Carboplatin 
Carbobplatin,Carboplatin
carbopaltin,Carboplatin
carboplatin,Carboplatin
Carboplatin,Carboplatin
CARBOplatin,Carboplatin
CARBOPLATIN,Carboplatin
Carboplatin #1,Carboplatin
Carboplatin & Paclitaxel,Carboplatin
Carboplatin 5 AUC,Carboplatin
